Petition,State,Signatures Count
Hold a referendum on the final Brexit deal,closed,145117
Brexit re article 50 it must not be suspended/stopped under any circumstances,closed,116469
Parliament's vote on the Brexit deal must include an option to remain in the EU.,closed,113614
STOP BREXIT,open,112217
If there is no agreement to leave the EU then brexit must be stopped,closed,110134
End the export of live farm animals after Brexit.,closed,100751
Stop the Common Fisheries Policy being adopted into UK law post-Brexit.,closed,67960
Stop Brexit if parliament rejects the deal,open,28775
The Government must publish its own Brexit Impact/Risk Assessments,closed,23218
"Walk away now!
We voted for a No Deal Brexit",open,19182
No more taxpayers money to be paid to the EU as part of any Brexit deal,closed,17534
Stop Brexit if supplies of vital medication can't be guaranteed.,open,15988
House of Commons vote on whether Brexit should be cancelled.,closed,14531
Repeal the EU Withdrawal Act to Prevent Accidental No-deal Brexit,open,13949
Keep the rights of EU27 + EFTA citizens already in the UK unchanged after Brexit,closed,13870
Cancel MPs' Christmas recess until a course of action over Brexit is agreed,open,13011
Withdraw the UK from the EU even if Parliament rejects the final Brexit deal.,closed,8343
Protect UK Citizens' existing Freedom of Movement rights in Brexit negotiations,closed,7835
"If no agreement on the Ireland Border can be reached, Brexit must be abandoned.",closed,7553
Keep freedom of movement for UK and EU Citizens as part of Brexit EU trade deal,closed,4830
"After Brexit, EU dialysis provision through EHIC to remain for UK residents.",closed,4395
16 and 17 year olds to be allowed to vote in a referendum on the Brexit deal.,open,2797
Formally request the EU allow UK citizens to request EU citizenship after Brexit,closed,2047
Require HMRC to separate out the cost of Brexit on personal tax statements.,closed,1908
"Commons to vote on the question ""Brexit is in the UK's best interest""",open,1818
Brexit: Stop using ‘will of the people’ and ‘will of the British people.’,closed,1812
The undersigned demand the following terms are included in any UK Brexit deal.,closed,1719
Once the Brexit process is finished give the public the final say on the deal,closed,1578
The Government should publish all its analysis on the economic impact of Brexit,closed,1316
"Actively prepare for a no-deal brexit & tell the EU: 'fair deal, or no deal'",closed,1288
Publish details of 39bn Brexit divorce payment and Britain's share of EU assets,open,1219
HM Government must publish the legal advice on Brexit immediately,open,1201
Action a NO DEAL Brexit and give divorce bill savings directly to UK citizens,open,1132
Create an independent enquiry to determine if foreign powers influenced Brexit.,closed,1053
16 and 17 year olds should be allowed to vote in any future Brexit referendum,closed,1050
Stop squandering taxpayers' money on a 'No Deal Brexit': rule it out,open,1013
To have a second referendum on Brexit once a final agreement with the EU agreed.,closed,981
Request the UK government in the Brexit negotiations to agree 4 specific points,closed,900
Lower the maximum temperature allowed when transporting livestock after Brexit,closed,891
Publish all official documents surrounding Brexit negotiations,open,862
The Government MUST NOT let the ECJ override British justice after Brexit,closed,853
Continue to recognise and allow the Inbound European Au Pair program post Brexit,closed,770
Keep Pet Passports Valid post Brexit,open,589
Order immediate adjournment of the Brexit process during the NCA Investigation,open,527
Cancel Parliament's Summer Recess to sort out the Brexit Deal,closed,486
Smart Brexit:  Apply to rejoin EFTA,closed,465
Make Philip Hammonds Brexit Preperation Fund the NHS Fund instead.,closed,392
The Government must publish its own Brexit Impact/Risk Assessments,open,386
Light beacons across the country on March 29th 2019 to celebrate Brexit,closed,375
Avoid no deal Brexit,open,374
Publish a breakdown of any Brexit money agreed after negotiations are complete,closed,316
Allow all British citizens to vote should there be a new referendum on Brexit.,open,274
Guarantee equal or better funding for scientific research in the UK after Brexit,closed,251
UK adopt a Norway style Brexit. Being in the EFTA-EEA. No jurisdiction for UK.,open,228
"If Brexit negotiations indicate there will be no deal, hold a second referendum",closed,202
HM Government must ensure that UK can unilaterally withdraw from Brexit backstop,open,189
PM to honour promise: BREXIT negotiated by Sen. Sec. of State who voted leave,open,148
Hold a referendum on HS2. Give the public the vote like we had for Brexit.,closed,139
Allow Parliament to vote on Brexit deal before Christmas,open,131
Hold a General Election if there is no deal on Brexit by September 2018,closed,94
"CELEBRATE BREXIT! 

Make March 29 an annual Bank Holiday",open,89
"Ensure MPs can scrutinise, amend and vote on any final Brexit deal",open,87
"Declare 23 June every year a national holiday - ""Brexit Day"".",closed,84
Make March 29th Brexit Bank Holiday,closed,81
"Block any payments to the EU after ""No Deal Brexit""",open,77
A 2nd Brexit referendum should allow 17 year olds on electoral registers to vote,open,72
"Celebrate Brexit!
Fly the Union Flag on every Government Building on March 29",open,70
Be commited to holding a second referendum on Scottish independence after Brexit,open,69
Form a Government of National Unity to oversee Brexit,closed,66
Brexit must mean leaving the Defence Union,open,59
Brexit deal must contain a clause allowing us rejoin the EU on the same terms,closed,58
Allow the public to decide by referendum on any Brexit 'no deal' not Parliament,open,56
Keep EU food labelling regulations following Brexit to highlight allergens,closed,55
Brexit - Follow a Canada Plus Deal with the EU,open,53
Deduct any money payable under the Brexit agreement from the Foreign Aid Budget.,closed,52
After Brexit - Expats spouses should be allowed to live in the UK without a visa,open,51
The UK stays in the customs union as part of the Brexit process.,closed,50
Convert the Charter of Fundamental Rights into UK law for if Brexit happens.,closed,44
"Include DBS check as a part of aplication for ""settled status"" after Brexit",open,44
Let the people decide whether Brexit included the single market & customs union,closed,43
To make the new British passports post Brexit Rainbow colour,closed,42
Include cycle paths in post-Brexit farming subsidies,closed,41
Parliament to not debate holding an second brexit referendum,closed,39
Support the Prime Minister's Brexit Deal,open,39
Withhold all contractual payments to the EU untill a Brexit deal is reached.,closed,31
Support Finance Bill Amendment to stop no-deal Brexit without Commons approval.,open,29
Guarantee supply of & don't raise price on precription medicines after BREXIT,open,27
Give public vote on brexit either to accept the deal or leave with a no deal,open,24
Make sure that development of new drugs is not adversely affected by BREXIT.,closed,23
No second referendum on the terms of Brexit,rejected,22
Reject the Brexit Deal agreed by Theresa May and reopen negotiations immediately,open,22
Place an injunction on Conservative party and the EEC from blocking Brexit,rejected,22
Publish the systems of due diligence in use when awarding Brexit contracts.,rejected,22
Immediate Brexit referendum needing 66% majority (4 options and 1st/2nd choice),open,22
Post Brexit British Armed Forces shouldnt be integrated into an EU defence force,rejected,21
Let the UK Public Vote on the final Brexit deal,rejected,21
No settlement payments to be made to the EU as part of any Brexit deal,rejected,21
Make it an offence to pay EU billions in UK tax payers money on Brexit,rejected,21
Sack Theresa may for a pro brexit prime minister.,rejected,21
Keep to the original timescale for BREXIT,rejected,21
Resignation of Theresa May after Betraying Brexit Referendum Result,rejected,21
Hold a meaningful vote/referendum on the outcome of BREXIT negotiations,rejected,21
No confidence vote on the governments handing of brexit.,rejected,21
Have a second brexit referendum in 2018.,rejected,21
The people should vote on the terms and conditions of Brexit.,rejected,21
Ensure the Eu negotiates Brexit according to article 50 not selective,rejected,21
"Cancel Brexit, the election of 2017 annulled previous Government decisions.",rejected,21
Suspend Brexit until Russian interference into the referendum is investigated.,rejected,21
Demand that the Government will treat Animals as sentient beings after Brexit.,rejected,21
Remove all  CONSENT implied or presumed by parliament in regards to brexit Bill.,rejected,21
Repeal the recent vote to deny animal sentience in post Brexit Britain,rejected,21
Reverse the vote in the Brexit bill that animals are not sentient beings,rejected,21
Allow animals to have the rights they deserve after brexit!,rejected,21
Repeal the decision to exclude animal sentience from the Brexit Bill,rejected,21
Show British people a detailed breakdown of Brexit money to be paid to the EU,rejected,21
accept current E.U. Animal Sentiency legislation into British law post Brexit.,rejected,21
"Due to Russian involvement in promoting a YES vote, declare Brexit void.",rejected,21
All parliamentary votes on Brexit must be free votes.,rejected,21
Make public the final Brexit bill before any agreement is signed,rejected,21
Tell Teresa May no to 40bn Euro deal with the EU over BREXIT,rejected,21
David Davis must resign for misleading parliament on Brexit impact papers.,rejected,21
Reject the EU Brexit deal agreed by the conservative government on 08/12/2017!,rejected,21
"Anna Soubry and Dominic Grieve meeting to advise 
Barnier how to stop Brexit",rejected,21
Teresa May get on with Brexit or stand down as pm and stop bowing down to the EU,rejected,21
"""No deal"" Brexit must be the default.",rejected,21
Investigate and prosecute any MP who votes in favour of and benefits from Brexit,rejected,21
Negotiate with the EU for British citizens right to re-settle in EU post-Brexit.,rejected,21
Remove Hilary Benn as head of the Brexit Select Commitee,rejected,21
Hold a Brexit Ref free of Cambridge Analytica influence with an option to remain,rejected,21
"Stop House of Lords members with assets in Europe, from voting on Brexit matters",rejected,21
Allow the country to vote on Brexit now that its cost is clear,rejected,21
Invoke the Parliament Act to give the Commons the final say on Brexit,rejected,21
Invoke the Parliament Act to bypass the Lords and let the Commons deliver Brexit,rejected,21
Make Senior Brexiters accountable for Brexit,rejected,21
Whatever Brexit deal is negotiated must receive the approval of a People’s Vote.,rejected,21
Investigate each member of the HoL's that voted against BREXIT for personal gain,rejected,21
Stop this Brexit nonsense: it’s based on misleading info & wastes resources.,rejected,21
Disregard Theresa Mays Brexit Proposals,rejected,21
Make Sure its a full brexit not a rehashed soft brexit as is Mays plan,rejected,21
"Theresa May must RESIGN NOW!!!
She's reneged on her Manifesto Brexit pledges.",rejected,21
The cabinet approved brexit policy to be rejected.,rejected,21
Protect Rights at Risk in Brexit Britain,rejected,21
To replace the Prime Minister due to her failings over Brexit,rejected,21
"The Govt’s Chequers White Paper simply
IS NOT BREXIT.
IT MUST BE SCRAPPED NOW!",rejected,21
Stop the Brexit White Paper. This is not what we voted for in the referendum.,rejected,21
Accept Justine Greening's call for a second Brexit referendum,rejected,21
Cancel or drastically shorten all Parliamentary recesses due to Brexit crisis,rejected,21
Recall parliament over summer recess 2018 to sort out Brexit policy.,rejected,21
Halt all Brexit activity and hold a second referendum on leaving the EU,rejected,21
Recall parliament from summer recess to achieve agreement on Brexit negotiation.,rejected,21
remove Theresa May from office and implement the brexit we voted for in full,rejected,21
Theresa May should be removed as PM as she has betrayed all who voted for Brexit,rejected,21
The resignation of T.May & S.Javid over their handling of Brexit & our country,rejected,21
Vote for a new Public Referendum on Brexit   September  2018,rejected,21
No second referendum/Peoples Vote on the final Brexit deal,rejected,21
Give the people a referendum on the final terms of Brexit,rejected,21
The People who voted for Brexit want the Chequers plan to be abolished.,rejected,21
Reject the Chequers Plan as it does not deliver Brexit we voted for,rejected,21
Allow free movement in Europe after Brexit,rejected,21
Theresa May has failed to honour the Brexit referendum and must resign as PM,rejected,21
Recover the Brexit divorce bill from MPs who vote for it.,rejected,21
Allow the royal family to formally give their opinion on Brexit,rejected,21
The plan to produce a 50p coin to commemorate Brexit must be overturned,rejected,21
We Want a No Deal Brexit,rejected,21
legal advice given by lawyers about brexit deal toTeresa May to be made public,rejected,21
Hold a public vote on any final Brexit deal with an option to stay in the EU.,rejected,21
"A Meaingful Vote on Brexit to include the Option to
Remain & Revoke article 50",rejected,21
We the people demand a vote of no confidence in Theresa May's Brexit deal.,rejected,21
RemoveTheresa May as Prime Minister for not delivering Brexit,rejected,21
Accept No deal Brexit,rejected,21
Change leader and Brexit strategy,rejected,21
Public vote of No Confidence in  our PM Theresa May over bad Brexit deal.,rejected,21
